member_id,first_name,surname,sex,email,city,year,month,order_count,meals_count,monthly_budget,total_expense,balance,commission
47,Joyce,Newton,F,Joyce.Ne@gmail.com,Herzelia,2020,1,17,37,1836.15,500.0,-1336.15,136.28
126,Macey,Almond,M,Macey.Almond@yahoo.com,Tel Aviv,2020,1,30,64,2676.98,1000.0,-1676.98,214.99
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,Tel Aviv,2020,1,24,52,2286.53,1000.0,-1286.53,164.94
193,Mira,Kent,M,Mi.Kent@walla.co.il,Tel Aviv,2020,1,24,54,2547.62,500.0,-2047.62,193.59
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,Tel Aviv,2020,1,23,50,2456.64,1000.0,-1456.64,193.98
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,Ramat Gan,2020,1,25,62,2760.23,600.0,-2160.23,211.1
192,Amrit,Haworth,M,Am.Ha@hotmail.com,Givatayim,2020,1,21,46,2044.02,1000.0,-1044.02,151.02
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,Givatayim,2020,1,20,36,1747.43,1000.0,-747.43,128.38
176,Amman,Zavala,F,Am.Zavala@gmail.com,Givatayim,2020,1,21,51,2225.54,600.0,-1625.54,159.1
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,Tel Aviv,2020,1,20,52,2503.43,1000.0,-1503.43,203.56
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,Ramat Gan,2020,1,25,56,2592.77,800.0,-1792.77,181.02
191,Kara,Thompson,F,Kara.Thompson@gmail.com,Ramat Gan,2020,1,29,65,2873.94,800.0,-2073.94,195.25
84,Simone,Morse,F,Si.Mo@hotmail.com,Givatayim,2020,1,22,38,1766.17,500.0,-1266.17,142.15
77,Claude,Patel,M,Cl.Pa@yahoo.com,Tel Aviv,2020,1,22,50,2285.76,600.0,-1685.76,151.22
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,Ramat Gan,2020,1,29,66,2821.92,800.0,-2021.92,218.12
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,Givatayim,2020,1,27,63,2962.03,600.0,-2362.03,243.31
2,Landon,Bishop,F,La.Bi@gmail.com,Herzelia,2020,1,25,65,3017.95,500.0,-2517.95,223.86
69,Griff,Blackwell,M,Griff.Blackwell@walla.co.il,Ramat Hasharon,2020,1,31,68,3308.46,1000.0,-2308.46,267.27
82,Misha,Ashley,M,Mi.As@hotmail.com,Ramat Hasharon,2020,1,27,63,2714.75,1000.0,-1714.75,217.1
174,Freyja,Molina,F,Fr.Mo@hotmail.com,Tel Aviv,2020,1,27,79,3536.94,600.0,-2936.94,265.7
177,Sydney,Wells,F,Sy.Wells@yahoo.com,Tel Aviv,2020,1,25,58,2497.45,500.0,-1997.45,178.77
7,Asia,Tang,F,Asia.Ta@hotmail.com,Herzelia,2020,1,25,63,2981.52,500.0,-2481.52,225.73
58,Colleen,Steele,F,Co.St@hotmail.com,Tel Aviv,2020,1,27,64,2980.88,800.0,-2180.88,213.5
132,Yousuf,Banks,M,Yousuf.Ba@hotmail.com,Ramat Gan,2020,1,28,67,3104.14,800.0,-2304.14,240.03
162,Christos,Rodriquez,M,Ch.Ro@yahoo.com,Ramat Hasharon,2020,1,18,45,2190.64,800.0,-1390.64,168.08
128,Parker,Drake,M,Parker.Dr@walla.co.il,Ramat Hasharon,2020,1,22,51,2183.25,800.0,-1383.25,175.4
59,Jaydon,Trujillo,M,Jaydon.Tr@walla.co.il,Tel Aviv,2020,1,30,66,2942.33,1000.0,-1942.33,208.95
22,Mikaela,Croft,F,Mi.Croft@gmail.com,Givatayim,2020,1,30,78,3533.53,1000.0,-2533.53,266.91
198,Drew,Begum,M,Drew.Begum@gmail.com,Ramat Hasharon,2020,1,21,56,2726.78,800.0,-1926.78,200.78
196,Juan,Barlow,M,Juan.Ba@yahoo.com,Herzelia,2020,1,24,55,2714.11,500.0,-2214.11,204.25
140,Florrie,Wilson,F,Fl.Wilson@walla.co.il,Tel Aviv,2020,1,22,46,1907.6,600.0,-1307.6,150.92
150,Lilly-Mae,Greer,F,Li.Gr@hotmail.com,Ramat Hasharon,2020,1,20,47,1820.95,800.0,-1020.95,152.95
37,Robert,Mckee,M,Robert.Mckee@gmail.com,Herzelia,2020,1,39,91,4418.24,800.0,-3618.24,345.03
